epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7803,1.84823,3.3012,1.23875,0.00467,0.28879,0.03545,0.02226,1.6013,3.84678,0.97956,0.0003875,0.0003875,0.0003875
2,81.071,1.58625,1.85671,1.09013,0.0085,0.41277,0.10619,0.06634,1.5366,3.44203,0.98061,0.000779704,0.000779704,0.000779704
3,117.801,1.5472,1.48009,1.06214,0.92037,0.38159,0.71447,0.35408,1.66888,2.27965,1.03055,0.00116399,0.00116399,0.00116399
4,154.118,1.49396,1.4419,1.04263,0.78926,0.62192,0.77926,0.42851,1.48631,1.50206,1.04002,0.00121287,0.00121287,0.00121287
5,188.987,1.43784,1.29152,1.03166,0.90848,0.77827,0.8653,0.46628,1.40785,1.01047,0.99251,0.0012005,0.0012005,0.0012005
6,224.213,1.427,1.21721,1.01944,0.86053,0.86397,0.89324,0.46738,1.49365,0.91057,1.02661,0.00118812,0.00118812,0.00118812
7,258.976,1.37238,1.06709,1.01252,0.89254,0.79406,0.86507,0.44861,1.54946,0.92997,1.03517,0.00117575,0.00117575,0.00117575
8,293.94,1.38262,1.06581,1.00476,0.86338,0.79966,0.84433,0.45095,1.46942,0.94225,1.01693,0.00116337,0.00116337,0.00116337
9,328.926,1.35946,1.00929,1.01803,0.91612,0.82705,0.89348,0.48401,1.4761,0.76971,1.03633,0.001151,0.001151,0.001151
10,363.764,1.31595,0.95617,0.99409,0.92125,0.85318,0.91553,0.51573,1.44083,0.75974,1.04246,0.00113863,0.00113863,0.00113863
11,400.821,1.37108,0.93057,1.01173,0.8971,0.87661,0.91442,0.49427,1.44369,0.75839,1.04937,0.00112625,0.00112625,0.00112625
12,444.382,1.34052,0.89234,0.99719,0.90004,0.85104,0.92626,0.52862,1.33952,0.7055,1.01558,0.00111388,0.00111388,0.00111388
13,489.927,1.30376,0.85141,0.97738,0.85488,0.90691,0.91883,0.48357,1.4845,0.70634,1.03215,0.0011015,0.0011015,0.0011015
14,532.054,1.3032,0.82611,0.99015,0.89365,0.89563,0.94535,0.51297,1.40484,0.70881,0.97741,0.00108913,0.00108913,0.00108913
15,572.042,1.28958,0.79058,0.97148,0.92197,0.87193,0.93251,0.5076,1.36736,0.68208,0.97782,0.00107675,0.00107675,0.00107675
16,611.554,1.30956,0.79094,0.97099,0.8799,0.90597,0.93011,0.49755,1.46269,0.68411,1.01224,0.00106437,0.00106437,0.00106437
17,648.968,1.28231,0.79822,0.97361,0.88142,0.9276,0.95108,0.52453,1.41835,0.70632,0.99546,0.001052,0.001052,0.001052
18,685.631,1.24751,0.76254,0.96463,0.86791,0.93058,0.9495,0.53805,1.38356,0.69802,1.00179,0.00103962,0.00103962,0.00103962
19,721.801,1.23055,0.72258,0.94843,0.90336,0.90886,0.92572,0.51189,1.41578,0.66375,1.00241,0.00102725,0.00102725,0.00102725
20,758.786,1.24604,0.71948,0.95045,0.9317,0.88494,0.94684,0.5312,1.37501,0.70042,0.99971,0.00101488,0.00101488,0.00101488
21,796.144,1.24918,0.70884,0.94183,0.91535,0.88827,0.93049,0.51035,1.3871,0.67057,0.98832,0.0010025,0.0010025,0.0010025
22,841.277,1.2439,0.7197,0.95584,0.93237,0.87681,0.91396,0.50437,1.41818,0.69824,0.98522,0.000990125,0.000990125,0.000990125
23,877.533,1.24084,0.72032,0.96899,0.93582,0.89738,0.94234,0.52435,1.35441,0.6432,0.98189,0.00097775,0.00097775,0.00097775
24,913.366,1.22563,0.68762,0.952,0.89344,0.88933,0.92255,0.49131,1.40239,0.66268,0.99349,0.000965375,0.000965375,0.000965375
25,948.589,1.23112,0.68577,0.9516,0.935,0.85769,0.9304,0.4937,1.44413,0.63494,1.01513,0.000953,0.000953,0.000953
26,983.698,1.20284,0.65737,0.94119,0.90662,0.91201,0.94098,0.53504,1.31173,0.62813,0.97198,0.000940625,0.000940625,0.000940625
27,1019.28,1.17558,0.64217,0.93448,0.90525,0.88092,0.93174,0.54047,1.33419,0.63934,0.9975,0.00092825,0.00092825,0.00092825
28,1054.66,1.17264,0.62861,0.93667,0.93478,0.87426,0.93095,0.50311,1.37826,0.6477,0.97421,0.000915875,0.000915875,0.000915875
29,1089.88,1.2215,0.66108,0.93631,0.91986,0.90218,0.9436,0.5317,1.35595,0.61711,0.96883,0.0009035,0.0009035,0.0009035
30,1125.13,1.17187,0.63468,0.93884,0.91089,0.91905,0.93656,0.48589,1.39476,0.64935,0.98637,0.000891125,0.000891125,0.000891125
31,1161.57,1.17976,0.6389,0.93883,0.90379,0.87564,0.92318,0.50574,1.43473,0.66063,0.98646,0.00087875,0.00087875,0.00087875
32,1197.99,1.1967,0.63168,0.93614,0.91593,0.88824,0.93073,0.52879,1.28995,0.6186,0.96913,0.000866375,0.000866375,0.000866375
33,1233.7,1.18305,0.6343,0.92768,0.9027,0.93381,0.94171,0.53658,1.32628,0.62524,0.98168,0.000854,0.000854,0.000854
34,1268.95,1.14811,0.60829,0.92838,0.94096,0.88493,0.9401,0.52666,1.41132,0.63403,0.99401,0.000841625,0.000841625,0.000841625
